balance,age,campaign,education,housing_yes,marital
0.8851145370612317,0.7692307692307693,0.0,0.0,1,2.0
0.7009842348227506,0.5000000000000001,0.0,1.0,1,0.0
0.6986325232993642,0.28846153846153855,0.0,1.0,1,2.0
0.8296315651946695,0.5576923076923077,0.0,3.0,1,2.0
0.698545422872572,0.28846153846153855,0.0,3.0,0,0.0
0.7185785210347531,0.326923076923077,0.0,0.0,1,2.0
0.7373922132218448,0.1923076923076924,0.0,0.0,1,0.0
0.6986325232993642,0.46153846153846156,0.0,0.0,1,1.0
0.708997474087623,0.7692307692307693,0.0,2.0,1,2.0
0.7501088755334901,0.48076923076923084,0.0,1.0,1,0.0
0.7219754376796447,0.4423076923076924,0.0,1.0,1,1.0
0.7324274888946956,0.21153846153846156,0.0,1.0,1,0.0
0.6989809250065325,0.6730769230769232,0.0,1.0,1,2.0
0.7046424527480185,0.7692307692307693,0.0,3.0,1,2.0
0.7125685915860988,0.7500000000000001,0.0,1.0,1,2.0
0.7184043201811688,0.6346153846153847,0.0,2.0,1,2.0
0.6995906279940772,0.5192307692307693,0.0,3.0,1,0.0
0.7029875446389687,0.7500000000000001,0.0,2.0,1,2.0
0.7036843480533055,0.8076923076923078,0.0,2.0,1,2.0
0.69845832244578,0.28846153846153855,0.0,1.0,1,2.0
0.761431931016462,0.1923076923076924,0.0,1.0,1,2.0
0.7663095549168191,0.730769230769231,0.0,0.0,1,2.0
0.7004616322619981,0.2692307692307693,0.0,2.0,1,0.0
0.7028133437853845,0.13461538461538464,0.0,1.0,1,2.0
0.69845832244578,0.42307692307692313,0.0,2.0,1,2.0
0.666056963679122,0.5000000000000001,0.0,1.0,1,2.0
0.7206689312777632,0.40384615384615385,0.0,0.0,1,0.0
0.7083006706732863,0.6538461538461539,0.0,1.0,1,2.0
0.6770316174549256,0.5384615384615385,0.2,1.0,1,0.0
0.7215399355456842,0.34615384615384615,0.0,1.0,1,0.0
0.7715355805243446,0.7500000000000001,0.0,1.0,0,2.0
0.7313822837731905,0.5961538461538463,0.0,0.0,1,2.0
0.7018552390906716,0.8076923076923078,0.0,1.0,1,2.0
0.69845832244578,0.7884615384615384,0.0,1.0,1,2.0
0.7039456493336818,0.7500000000000001,0.0,1.0,1,1.0
0.6978486194582354,0.13461538461538464,0.0,1.0,1,2.0
0.6981970211654037,0.6730769230769232,0.0,1.0,0,2.0
0.7425311384025782,0.34615384615384615,0.0,1.0,1,1.0
0.69845832244578,0.3653846153846154,0.0,1.0,1,0.0
0.923700026130128,0.5000000000000001,0.0,1.0,1,1.0
0.7027262433585925,0.6153846153846154,0.2,1.0,1,2.0
0.7075167668321575,0.8076923076923078,0.0,3.0,1,2.0
0.7445344482187963,0.6923076923076924,0.0,1.0,1,2.0
0.7068199634178207,0.7692307692307693,0.0,3.0,1,2.0
0.6835641494643324,0.34615384615384615,0.0,2.0,1,0.0
0.6667537670934588,0.7692307692307693,0.0,0.0,1,2.0
0.69845832244578,0.5000000000000001,0.2,1.0,1,2.0
0.69845832244578,0.7115384615384616,0.0,1.0,0,1.0
0.69845832244578,0.21153846153846156,0.0,0.0,1,0.0
0.8109049734343698,0.6923076923076924,0.0,1.0,1,2.0
0.6772058183085097,0.576923076923077,0.0,0.0,1,1.0
0.69845832244578,0.2692307692307693,0.0,0.0,1,2.0
0.6918386900095811,0.46153846153846156,0.0,1.0,1,0.0
0.6894869784861946,0.11538461538461542,0.0,1.0,1,0.0
0.7196237261562581,0.3846153846153847,0.0,0.0,0,0.0
0.7353889034056267,0.3846153846153847,0.0,0.0,1,0.0
0.7251110530441599,0.5576923076923077,0.0,3.0,1,2.0
0.7005487326887901,0.42307692307692313,0.0,3.0,1,0.0
0.7140492988415643,0.5384615384615385,0.0,2.0,1,2.0
0.69845832244578,0.2692307692307693,0.0,0.0,1,2.0
0.7846006445431583,0.6730769230769232,0.0,1.0,1,1.0
0.7201463287170107,0.7500000000000001,0.0,2.0,1,2.0
0.7672676596115321,0.28846153846153855,0.0,1.0,1,2.0
0.711871788171762,0.5961538461538463,0.0,3.0,1,2.0
0.7071683651249892,0.8076923076923078,0.0,0.0,0,2.0
0.7035972476265133,0.7884615384615384,0.0,0.0,1,1.0
0.80341433673025,0.7115384615384616,0.2,1.0,1,2.0
0.7006358331155823,0.25,0.0,1.0,1,2.0
0.7230206428011497,0.6923076923076924,0.0,1.0,1,2.0
0.7004616322619981,0.7115384615384616,0.0,2.0,1,2.0
0.8671718491420608,0.48076923076923084,0.0,1.0,1,2.0
0.731904886333943,0.6730769230769232,0.0,1.0,1,2.0
0.7491507708387771,0.5000000000000001,0.0,1.0,0,2.0
0.7063844612838603,0.7115384615384616,0.0,1.0,0,1.0
0.69845832244578,0.5961538461538463,0.0,1.0,1,1.0
0.698545422872572,0.7115384615384616,0.0,1.0,1,1.0
0.7164010103649507,0.5192307692307693,0.0,1.0,1,0.0
0.712742792439683,0.5576923076923077,0.0,1.0,0,1.0
0.7585576169323229,0.46153846153846156,0.0,1.0,1,0.0
